Cena_surowa,Powierzchnia_surowa,Pokoje_surowe
"599 000 zł94,40 m² 6 345,34 zł/m²","11 520,58 zł/m²",Liczba pokoi:
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",Liczba pokoi:
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",Liczba pokoi:
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",
"430 677 zł36,81 m² 11 700 zł/m²",11 700 zł/m²,Liczba pokoi:
"430 677 zł36,81 m² 11 700 zł/m²",11 700 zł/m²,Liczba pokoi:
"430 677 zł36,81 m² 11 700 zł/m²",11 700 zł/m²,
"426 236 zł37,72 m² 11 300 zł/m²",11 300 zł/m²,Liczba pokoi:
"426 236 zł37,72 m² 11 300 zł/m²",11 300 zł/m²,Liczba pokoi:
"426 236 zł37,72 m² 11 300 zł/m²",11 300 zł/m²,
"437 552 zł37,72 m² 11 600 zł/m²",11 600 zł/m²,Liczba pokoi:
"437 552 zł37,72 m² 11 600 zł/m²",11 600 zł/m²,Liczba pokoi:
"437 552 zł37,72 m² 11 600 zł/m²",11 600 zł/m²,
"565 000 zł49,80 m² 11 345,38 zł/m²","11 345,38 zł/m²",Liczba pokoi:
"565 000 zł49,80 m² 11 345,38 zł/m²","11 345,38 zł/m²",Liczba pokoi:
"565 000 zł49,80 m² 11 345,38 zł/m²","11 345,38 zł/m²",
"399 000 zł32 m² 12 468,75 zł/m²","12 468,75 zł/m²",Liczba pokoi:
"399 000 zł32 m² 12 468,75 zł/m²","12 468,75 zł/m²",Liczba pokoi:
"399 000 zł32 m² 12 468,75 zł/m²","12 468,75 zł/m²",
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",Liczba pokoi:
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",Liczba pokoi:
"599 000 zł94,40 m² 6 345,34 zł/m²","6 345,34 zł/m²",
"585 000 zł54,57 m² 10 720,18 zł/m²","10 720,18 zł/m²",Liczba pokoi:
"585 000 zł54,57 m² 10 720,18 zł/m²","10 720,18 zł/m²",Liczba pokoi:
"585 000 zł54,57 m² 10 720,18 zł/m²","10 720,18 zł/m²",
"1 079 916 zł87,09 m² 12 400 zł/m²",12 400 zł/m²,Liczba pokoi:
"1 079 916 zł87,09 m² 12 400 zł/m²",12 400 zł/m²,Liczba pokoi:
"1 079 916 zł87,09 m² 12 400 zł/m²",12 400 zł/m²,
"749 826 zł75,74 m² 9 900 zł/m²",9 900 zł/m²,Liczba pokoi:
"749 826 zł75,74 m² 9 900 zł/m²",9 900 zł/m²,Liczba pokoi:
"749 826 zł75,74 m² 9 900 zł/m²",9 900 zł/m²,
"644 271 zł50,73 m² 12 700 zł/m²",12 700 zł/m²,Liczba pokoi:
